4,5,1,13,2
5,11,2,36,3
26,14,16,43,7
27,21,25,52,10
69,33,26,62,31
85,49,49,80,34
112,56,57,118,41
,61,76,134,42
,62,88,155,44
,87,105,191,45
,90,,215,51
,95,,256,52
,100,,271,58
,116,,310,62
,123,,312,64
,145,,314,73
,150,,315,79
,156,,327,80
,169,,333,86
,194,,335,89
,231,,346,98
,239,,354,102
,244,,358,117
,271,,367,133
,277,,369,135
,282,,435,288
,295,,447,150
,303,,457,155
,325,,474,158
,327,,484,164
,347,,491,165
,356,,511,168
,385,,524,169
,427,,538,173
,440,,559,180
,468,,590,181
,479,,591,183
,488,,597,184
,536,,607,185
,542,,609,193
,559,,623,199
,570,,626,203
,577,,641,205
,595,,644,211
,629,,648,214
,636,,651,215
,647,,665,219
,656,,668,227
,666,,687,233
,673,,693,239
,698,,697,247
,701,,702,248
,717,,703,252
,748,,708,257
,759,,724,261
,782,,739,264
,827,,746,266
,842,,760,269
,861,,764,270
,881,,767,275
,883,,770,280
,901,,777,284
,914,,778,285
,926,,801,292
,934,,804,293
,937,,810,296
,944,,828,305
,951,,867,317
,966,,888,324
,969,,889,329
,972,,913,343
,987,,947,344
,995,,962,346
,1005,,966,353
,1012,,,366
,,,,371
,,,,372
,,,,377
,,,,397
,,,,406
,,,,409
,,,,413
,,,,414
,,,,420
,,,,422
,,,,427
,,,,439
,,,,452
,,,,454
,,,,455
,,,,460
,,,,461
,,,,471
,,,,478
,,,,481
,,,,493
,,,,494
,,,,497
,,,,506
,,,,511
,,,,515
,,,,522
,,,,523
,,,,525
,,,,527
,,,,533
,,,,540
,,,,548
,,,,557
,,,,558
,,,,559
,,,,561
,,,,565
,,,,572
,,,,576
,,,,583
,,,,592
,,,,596
,,,,601
,,,,603
,,,,607
,,,,609
,,,,610
,,,,611
,,,,616
,,,,622
,,,,626
,,,,636
,,,,640
,,,,643
,,,,651
,,,,652
,,,,653
,,,,654
,,,,656
,,,,673
,,,,675
,,,,678
,,,,695
,,,,699
,,,,702
,,,,705
,,,,715
,,,,726
,,,,731
,,,,732
,,,,733
,,,,746
,,,,748
,,,,749
,,,,750
,,,,759
,,,,779
,,,,787
,,,,790
,,,,796
,,,,797
,,,,799
,,,,803
,,,,815
,,,,819
,,,,821
,,,,828
,,,,829
,,,,836
,,,,838
,,,,841
,,,,849
,,,,852
,,,,862
,,,,871
,,,,874
,,,,875
,,,,887
,,,,888
,,,,889
,,,,890
,,,,891
,,,,892
,,,,893
,,,,894
,,,,898
,,,,911
,,,,921
,,,,926
,,,,929
,,,,931
,,,,942
,,,,943
,,,,944
,,,,946
,,,,952
,,,,953
,,,,960
,,,,965
,,,,966
,,,,974
,,,,977
,,,,987
,,,,989
,,,,990
,,,,996
,,,,1000
,,,,1007
,,,,1014
,,,,1018
,,,,1020
,,,,1021
,,,,1025
,,,,1027
,,,,1030
,,,,1031
,,,,1037
,,,,1042
,,,,1047
,,,,1058
,,,,1059
,,,,1063
,,,,1073
,,,,1074
,,,,1077
,,,,1080
,,,,1081
,,,,1082
,,,,1092
,,,,1095
,,,,1100
,,,,1102
,,,,1107
,,,,1112
,,,,1116
,,,,1125
,,,,1137
,,,,1153
,,,,1154
,,,,1157
,,,,1161
,,,,1163
,,,,1164
,,,,1166
,,,,1168
,,,,1170
,,,,1172
,,,,1174
,,,,1177
,,,,1180
,,,,1181
,,,,1183
,,,,1198
,,,,1200
,,,,1201
,,,,54
,,,,125
,,,,154
,,,,159
,,,,190
,,,,195
,,,,198
,,,,212
,,,,223
,,,,243
,,,,356
,,,,444
,,,,488
,,,,502
,,,,510
,,,,547
,,,,617
,,,,720
,,,,739
,,,,794
,,,,958
,,,,988
